URL,Size (Bytes),# of Outlinks,Content Type
https://www.latimes.com/business/story/2023-01-24/column-moderna-and-pfizer-are-jacking-up-the-price-of-covid-vaccines-the-government-should-stop-them,333971,185,text/html
https://www.latimes.com/science/story/2022-12-02/the-more-pandemic-precautions-fall-away-the-more-covid-risk-is-concentrated-on-this-one-group,344001,181,text/html
https://www.latimes.com/science/story/2021-06-18/some-vaccine-experts-are-having-second-thoughts-about-immunizing-kids,329112,190,text/html
https://www.latimes.com/california/story/2023-02-26/malls-to-housing,315657,164,text/html
https://www.latimes.com/opinion/story/2023-05-05/california-housing-shortage-crisis-laws-reforms-rents-homes-homeless,306072,173,text/html
https://www.latimes.com/opinion/story/2023-02-19/california-housing-developers-los-angeles,303060,179,text/html
https://www.latimes.com/california/story/2020-07-09/5-ways-to-stay-connected-at-college,324169,178,text/html
https://www.latimes.com/sitemap/1933/10,176801,132,text/html
https://www.latimes.com/local/california/la-me-ln-trump-california-fires-20181110-story.html,289512,159,text/html
https://www.latimes.com/sports/dodgers/la-sp-scully-latino-family-20160924-snap-story.html,353494,188,text/html
https://www.latimes.com/entertainment/movies/la-et-mn-latinos-in-hollywood-20160227-story.html,306569,176,text/html
https://www.latimes.com/local/lanow/la-me-ln-ramona-hate-crime-20160707-snap-story.html,302564,167,text/html
https://www.latimes.com/local/lanow/la-me-ln-city-to-consider-ban-on-chewing-tobacco-20160126-story.html,284087,161,text/html
https://www.latimes.com/local/california/la-me-cougar-eats-dog-20170424-story.html,275973,156,text/html
https://www.latimes.com/local/lanow/la-me-ln-bye-bye-el-nino-20160609-snap-story.html,279604,158,text/html
https://www.latimes.com/local/lanow/la-me-ln-citrus-fruits-lead-detective-to-capture-burglary-suspects-20160114-story.html,278269,155,text/html
https://www.latimes.com/local/california/la-me-ln-my-father-20161229-htmlstory.html,278539,160,text/html
https://www.latimes.com/local/california/la-me-gang-history-20160512-story.html,308844,165,text/html
https://www.latimes.com/coupon-codes/static/shop/34685/logo/adidas_logo__2___1_.png?width=200&height=200,1971,0,image/png
https://www.latimes.com/coupon-codes/static/shop/34685/logo/adidas_logo__2___1_.png?width=110&height=110,3400,0,image/png
https://www.latimes.com/california/story/2023-09-06/the-political-power-of-clarence-avant-the-black-godfather-who-had-the-ear-of-three-presidents,329465,170,text/html
https://www.latimes.com/california/story/2023-08-19/socal-frantically-prepares-as-hurricane-hilary-barrels-in-very-very-dangerous,322019,177,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-09-26/los-fabulosos-cadillacs-ofrecieron-fiesta-protesta-y-experimentacion,257505,99,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-09-08/asi-se-hizo-la-adaptacion-filmica-de-una-popular-novela-mexicoamericana-sobre-el-despertar-queer,255388,98,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-09-20/estas-son-las-propuestas-en-espanol-del-festival-latinx-hispanic-cinema,250911,101,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-09-13/craig-gillespie-reconstruye-el-caso-de-gamestop-con-ayuda-latina-en-dumb-money,240026,98,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-09-22/este-es-el-laureado-director-afroamericano-que-llevo-a-la-pantalla-la-emocionante-vida-de-cassandro,248617,101,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-09-13/estos-autores-latinoamericanos-daran-la-cara-por-sus-verdades-sus-familias-y-sus-pasiones-en-la-edicion-2023-de-leala,266305,104,text/html
https://www.latimes.com/coupon-codes/static/shop/38273/logo/Adore_Me_Coupon.jpg?width=110&height=110,1927,0,image/jpeg
https://www.latimes.com/coupon-codes/static/shop/38273/logo/Adore_Me_Coupon.jpg?width=200&height=200,3433,0,image/jpeg
https://www.latimes.com/coupon-codes/static/shop/36274/logo/lovevery_logo__1_.png?width=200&height=200,3363,0,image/png
https://www.latimes.com/coupon-codes/static/shop/36274/logo/lovevery_logo__1_.png?width=110&height=110,2233,0,image/png
https://www.latimes.com/delos/story/2023-08-20/blue-beetle-xolo-mariduena-family-friends,362492,172,text/html
https://www.latimes.com/delos/story/2023-08-17/yahritza-y-su-esencia-clear-the-air-after-mexico-city-gaffe-we-needed-more-experience,331356,173,text/html
https://www.latimes.com/homeless-housing/story/2021-07-08/it-took-two-hours-in-the-pre-dawn-darkness-for-city-crews-to-remove-one-venice-homeless-man,367348,167,text/html
https://www.latimes.com/california/story/2021-07-09/heat-wave-flex-alert-what-to-know-about-weekend-weather,308520,174,text/html
https://www.latimes.com/california/story/2020-08-17/flex-alerts-ways-to-conserve-power-cool-down,296590,170,text/html
https://www.latimes.com/coupon-codes/static/shop/45662/logo/Monrow_Promo_Code.png?width=200&height=200,2869,0,image/png
https://www.latimes.com/coupon-codes/static/shop/45662/logo/Monrow_Promo_Code.png?width=110&height=110,1540,0,image/png
https://www.latimes.com/bestcovery/mosquito-netting?_amp=true,119151,41,text/html
https://www.latimes.com/bestcovery/best-cockroach-trap,90517,48,text/html
https://www.latimes.com/bestcovery/best-indoor-ant-trap,83062,44,text/html
https://www.latimes.com/coupon-codes/static/shop/36405/logo/Shopify_logo__1_.png?width=110&height=110,2774,0,image/png
https://www.latimes.com/coupon-codes/static/shop/36405/logo/Shopify_logo__1_.png?width=200&height=200,4947,0,image/png
https://www.latimes.com/california/story/2023-08-01/how-heat-driven-fires-spread-inland-without-santa-ana-winds,326398,175,text/html
https://www.latimes.com/california/story/2023-05-30/la-me-southern-californias-stubborn-may-gray,307683,168,text/html
https://www.latimes.com/california/story/2023-02-24/thundersnow-california-weather,302917,170,text/html
